     Orientation no.            sigma (A)       epsilon (cm-1)
                 969                 4.01               44.112
                 970                 3.47               86.690
                 971                 4.10               39.874
                 972                 3.12               72.513
                 973                 3.21               88.981
                 974                 5.88               30.243
                 975                 3.39               89.589
                 976                 3.30               69.651
                 977                 3.56               60.674
                 978                 3.39               88.507
                 979                 5.88               29.506
                 980                 3.21               86.240
                 981                 3.12               76.892
                 982                 4.19               32.191
                 983                 3.47               86.826
                 984                 3.83               49.066
                 985                 3.03               74.871
                 986                 3.30               90.773
                 987                 5.88               30.829
                 988                 3.30               90.745
                 989                 3.03               74.854
                 990                 3.83               49.303
                 991                 3.47               86.744
                 992                 4.19               31.451
                 993                 3.21               77.138
                 994                 3.21               86.074
                 995                 5.88               29.511
                 996                 3.39               88.200
                 997                 3.56               59.722
                 998                 3.30               69.099
                 999                 3.39               89.401
                1000                 5.88               30.312
                1001                 3.21               89.011
                1002                 3.12               71.942
                1003                 4.10               38.713
                1004                 3.47               86.230
                1005                 4.01               42.562
                1006                 3.03               70.870
                1007                 3.30               90.117
                1008                 5.88               30.622
                1009                 3.39               89.650
                1010                 3.12               72.204
                1011                 3.65               55.314
                1012                 3.39               86.936
                1013                 5.88               29.041
                1014                 3.21               83.257
                1015                 3.21               80.788
                1016                 5.79               28.708
                1017                 3.47               86.518
                1018                 3.74               52.090
                1019                 3.12               73.521
                1020                 3.30               89.611
                1021                 5.88               30.769
                1022                 3.30               90.347
                1023                 3.03               71.143
                1024                 3.92               44.470
                1025                 3.47               85.752
                1026                 4.10               35.221
                1027                 3.12               73.443
                1028                 3.21               87.906
                1029                 5.88               30.065
                1030                 3.39               88.167
                1031                 3.39               64.280
                1032                 3.39               62.658
                1033                 3.39               87.771
                1034                 5.88               29.930
                1035                 3.21               87.301
                1036                 3.12               74.354
                1037                 4.10               33.435
                1038                 3.47               85.367
                1039                 3.92               44.860
                1040                 3.03               70.840
                1041                 3.30               89.987
                1042                 5.88               30.806
                1043                 3.30               89.186
                1044                 3.03               72.201
                1045                 3.74               50.035
                1046                 3.47               85.503
                1047                 5.79               28.660
                1048                 3.21               79.392
                1049                 3.21               83.987
                1050                 5.88               29.306
                1051                 3.47               85.904
                1052                 3.56               55.576
                1053                 3.21               69.555
                1054                 3.39               88.362
                1055                 5.88               30.549
                1056                 3.30               89.125
                1057                 3.12               69.524
                1058                 4.01               39.416
                1059                 3.47               84.242
                1060                 4.01               38.366
                1061                 3.12               70.019
                1062                 3.30               88.696
                1063                 5.88               30.457
                1064                 3.39               87.732
