     Orientation no.            sigma (A)       epsilon (cm-1)
                 975                 3.47              230.123
                 976                 3.47              221.968
                 977                 3.74              192.391
                 978                 3.56              227.862
                 979                 4.37              111.029
                 980                 3.30              233.112
                 981                 3.21              232.197
                 982                 4.37              126.897
                 983                 3.56              224.283
                 984                 4.01              156.943
                 985                 3.21              258.045
                 986                 3.47              234.200
                 987                 4.37               94.649
                 988                 3.47              234.167
                 989                 3.21              257.938
                 990                 4.01              158.374
                 991                 3.56              224.054
                 992                 4.37              126.534
                 993                 3.21              231.732
                 994                 3.30              232.986
                 995                 4.37              112.007
                 996                 3.56              227.297
                 997                 3.74              191.532
                 998                 3.47              223.654
                 999                 3.47              229.616
                1000                 4.37              102.530
                1001                 3.39              234.955
                1002                 3.12              239.426
                1003                 4.28              137.523
                1004                 3.56              222.129
                1005                 4.19              144.639
                1006                 3.12              248.453
                1007                 3.39              235.190
                1008                 4.37               98.060
                1009                 3.47              231.519
                1010                 3.30              239.655
                1011                 3.83              178.471
                1012                 3.56              225.127
                1013                 4.37              118.158
                1014                 3.30              231.374
                1015                 3.30              230.104
                1016                 4.37              122.078
                1017                 3.56              223.726
                1018                 3.92              169.613
                1019                 3.30              249.220
                1020                 3.47              232.279
                1021                 4.37               95.565
                1022                 3.39              233.848
                1023                 3.12              253.080
                1024                 4.10              150.456
                1025                 3.56              220.755
                1026                 4.28              134.359
                1027                 3.21              233.643
                1028                 3.39              233.208
                1029                 4.37              107.217
                1030                 3.56              226.903
                1031                 3.56              210.876
                1032                 3.56              204.838
                1033                 3.56              226.252
                1034                 4.37              109.312
                1035                 3.39              232.302
                1036                 3.21              232.040
                1037                 4.28              133.016
                1038                 3.56              219.642
                1039                 4.10              153.052
                1040                 3.12              253.339
                1041                 3.47              232.445
                1042                 4.37               94.826
                1043                 3.47              231.335
                1044                 3.21              252.736
                1045                 3.92              166.924
                1046                 3.56              220.453
                1047                 4.28              125.035
                1048                 3.30              228.507
                1049                 3.30              230.652
                1050                 4.37              117.752
                1051                 3.56              222.316
                1052                 3.74              184.162
                1053                 3.39              235.116
                1054                 3.47              227.096
                1055                 4.37              100.196
                1056                 3.39              232.891
                1057                 3.12              241.206
                1058                 4.19              143.855
                1059                 3.65              217.147
                1060                 4.19              142.292
                1061                 3.12              237.751
                1062                 3.39              232.566
                1063                 4.37              102.161
                1064                 3.56              225.640
